"category","prompt","response","expected_answer","context"
"Refund Request","Customer support ticket for Mobile App. Category: Refund Request. Issue: There seems to be a discrepancy in my billing statement for this month. Priority: High. Channel: Web Form. Region: Asia. Subscription: Enterprise. Previous tickets: 18.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: Mobile App | Priority: High | Ticket status: Pending Customer | Channel: Web Form | Region: Asia | SLA breached: Yes | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Subscription Cancellation","Customer support ticket for Mobile App. Category: Subscription Cancellation. Issue: I am unable to access my account after entering the correct credentials. Priority: Urgent. Channel: Web Form. Region: Asia. Subscription: Free. Previous tickets: 20.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: Mobile App | Priority: Urgent | Ticket status: Open | Channel: Web Form | Region: Asia | SLA breached: No | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for Web Portal. Category: Login Issue. Issue: The system is not syncing data across devices properly. Priority: Medium. Channel: Phone. Region: Africa. Subscription: Free. Previous tickets: 18.","Payment gateway timeout issue fixed and monitoring implemented.","Payment gateway timeout issue fixed and monitoring implemented.","Product: Web Portal | Priority: Medium | Ticket status: Resolved | Channel: Phone | Region: Africa | SLA breached: No | Issue complexity: 7 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Login Issue","Customer support ticket for E-commerce Store. Category: Login Issue. Issue: Two-factor authentication codes are not being delivered to my phone. Priority: Low. Channel: Chat. Region: Europe. Subscription: Enterprise. Previous tickets: 14.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: E-commerce Store | Priority: Low | Ticket status: Pending Customer | Channel: Chat | Region: Europe | SLA breached: No | Issue complexity: 9 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Refund Request","Customer support ticket for Web Portal. Category: Refund Request. Issue: The payment was deducted from my bank account but the transaction shows failed. Priority: High. Channel: Web Form. Region: South America. Subscription: Basic. Previous tickets: 0.","The duplicate charge was reversed and refund processed within 3-5 business days.","The duplicate charge was reversed and refund processed within 3-5 business days.","Product: Web Portal | Priority: High | Ticket status: Pending Customer | Channel: Web Form | Region: South America | SLA breached: No | Issue complexity: 2 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Bug Report","Customer support ticket for Payment Gateway. Category: Bug Report. Issue: My subscription was cancelled without my request and I need clarification. Priority: Urgent. Channel: Phone. Region: North America. Subscription: Free. Previous tickets: 8.","Provided step-by-step troubleshooting instructions and issue resolved.","Provided step-by-step troubleshooting instructions and issue resolved.","Product: Payment Gateway | Priority: Urgent | Ticket status: Open | Channel: Phone | Region: North America | SLA breached: No | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for Web Portal. Category: Account Suspension. Issue: The system is not syncing data across devices properly. Priority: Urgent. Channel: Email. Region: Australia. Subscription: Enterprise. Previous tickets: 20.","The issue was escalated to engineering and resolved in the latest patch.","The issue was escalated to engineering and resolved in the latest patch.","Product: Web Portal | Priority: Urgent | Ticket status: Closed | Channel: Email | Region: Australia | SLA breached: Yes | Issue complexity: 4 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Account Suspension","Customer support ticket for API Service. Category: Account Suspension. Issue: I would like to request a refund for the recent charge. Priority: Urgent. Channel: Chat. Region: Australia. Subscription: Enterprise. Previous tickets: 2.","Explained billing breakdown and clarified applicable charges.","Explained billing breakdown and clarified applicable charges.","Product: API Service | Priority: Urgent | Ticket status: In Progress | Channel: Chat | Region: Australia | SLA breached: Yes | Issue complexity: 8 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Feature Request","Customer support ticket for Cloud Storage. Category: Feature Request. Issue: I would like to request a refund for the recent charge. Priority: Urgent. Channel: Social Media. Region: Africa. Subscription: Basic. Previous tickets: 10.","Data synchronization restored after backend service restart.","Data synchronization restored after backend service restart.","Product: Cloud Storage | Priority: Urgent | Ticket status: Closed | Channel: Social Media | Region: Africa | SLA breached: No | Issue complexity: 6 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
"Performance Issue","Customer support ticket for Analytics Dashboard. Category: Performance Issue. Issue: The system is not syncing data across devices properly. Priority: High. Channel: Web Form. Region: Africa. Subscription: Basic. Previous tickets: 9.","Bug logged internally and workaround shared with the customer.","Bug logged internally and workaround shared with the customer.","Product: Analytics Dashboard | Priority: High | Ticket status: Closed | Channel: Web Form | Region: Africa | SLA breached: Yes | Issue complexity: 5 | Support policy: do not request passwords, payment secrets, or unsupported guarantees; answer only from the ticket and approved resolution."
